"m_sp"	"m_sf"	"sf_treatment"	"treatment"	"time"	"subsample"	"replicate"	"APN"	"DPP4"	"NEP"	"tot_sperm"	"HA"	"VCL"	"LIN"	"ALH"	"n_dead_sperm"	"tot_sperm_viab"	"number_motile_cells_int"
"6"	"5"	"foreign"	"SF"	"90"	"a"	"2"	3.34	12.18	1.87	155	0	72.3	37.5	0.5	799	4425	55
"6"	"5"	"foreign"	"SF"	"90"	"a"	"1"	3.34	12.18	1.87	89	0	73.5	35.9	1.3	876	5067	32
"1"	"5"	"foreign"	"SF"	"30"	"a"	"2"	3.34	12.18	1.87	131	1	77.3	58.8	1	NA	NA	72
"1"	"5"	"foreign"	"SF"	"30"	"a"	"1"	3.34	12.18	1.87	137	1	80.7	51.4	1.1	NA	NA	78
"1"	"5"	"foreign"	"SF"	"90"	"a"	"2"	3.34	12.18	1.87	82	0	65.9	46.1	1	708	3396	33
"1"	"5"	"foreign"	"SF"	"90"	"a"	"1"	3.34	12.18	1.87	119	0	66.9	43.6	1.1	598	3256	54
"8"	"5"	"foreign"	"SF"	"30"	"a"	"1"	3.34	12.18	1.87	84	0	71.6	43.7	1.3	NA	NA	17
"8"	"5"	"foreign"	"SF"	"30"	"a"	"2"	3.34	12.18	1.87	127	1	77.9	34.6	0	NA	NA	30
"8"	"5"	"foreign"	"SF"	"90"	"a"	"1"	3.34	12.18	1.87	102	0	58.8	35.1	0	1167	5184	15
"8"	"5"	"foreign"	"SF"	"90"	"a"	"2"	3.34	12.18	1.87	91	0	83.9	35.4	0	1197	5181	19
"2"	"5"	"foreign"	"SF"	"30"	"a"	"1"	3.34	12.18	1.87	137	2	66.3	33.5	0.6	NA	NA	40
"2"	"5"	"foreign"	"SF"	"30"	"a"	"2"	3.34	12.18	1.87	134	1	68.9	33.5	0	NA	NA	21
"2"	"5"	"foreign"	"SF"	"90"	"a"	"1"	3.34	12.18	1.87	97	0	62.7	33.3	0	1047	4408	16
"2"	"5"	"foreign"	"SF"	"90"	"a"	"2"	3.34	12.18	1.87	112	0	70.8	33	0.2	890	3566	12
"9"	"5"	"foreign"	"SF"	"30"	"a"	"1"	3.34	12.18	1.87	88	0	94.1	48.9	1.5	NA	NA	16
"9"	"5"	"foreign"	"SF"	"30"	"a"	"2"	3.34	12.18	1.87	122	6	105.2	46	1.7	NA	NA	47
"9"	"5"	"foreign"	"SF"	"90"	"a"	"2"	3.34	12.18	1.87	133	0	65.6	36.9	0.4	1041	4584	41
"9"	"5"	"foreign"	"SF"	"90"	"a"	"1"	3.34	12.18	1.87	97	0	74	36.3	1.6	1110	4665	30
"3"	"5"	"foreign"	"SF"	"30"	"a"	"1"	3.34	12.18	1.87	106	0	46.4	40.4	0.8	NA	NA	29
"3"	"5"	"foreign"	"SF"	"30"	"a"	"2"	3.34	12.18	1.87	134	0	57.4	43.6	1.1	NA	NA	23
